taxon_name,resprouting_binomial,seeding_binomial,min_maturity_primary,avg_maturity_primary,bin_maturity_primary,min_maturity_secondary,avg_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,min_maturity_primary_score,avg_maturity_primary_score,bin_maturity_primary_score,min_maturity_secondary_score,avg_maturity_secondary_score,score_GM
Caladenia roei,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Caladenia rosella,TRUE,TRUE,3,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Caladenia sp. (Dadswells Bridge),NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia aff. catenata (South Gippsland); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia aff. oenochila (St Andrews); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia aff. venusta (Tallageira); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia aff. vulgaris (Aireys Inlet); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia sp. aff. fragrantissima (Central Victoria); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. [Caladenia sp. aff. tentaculata (Dromana); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. A,NA,NA,1,NA,1--5,NA,1,NA,NA,0.2,NA,0.2,NA,0.2,0.2
Caladenia sp. aff. rosella (Violet Town),NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. Chapple Vale (J.A.Jeanes 344),TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. Inverleigh (N.Anderton 15),TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia speciosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Caladenia stricta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia tensa,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Caladenia tentaculata,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia tessellata,TRUE,TRUE,2,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Caladenia testacea,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia thysanochila,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia toxochila,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia transitoria,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia ultima,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Caladenia valida,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia venusta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia verrucosa,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia versicolor,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Caladenia villosissima,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia vulgaris,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caladenia x [Caladenia arenaria X concinna; White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia x [Caladenia arenaria X stellata; White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia x [Caladenia X cardiochila x reticulata; White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia X variabilis,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caladenia xanthochila,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Calamus australis,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calamus caryotoides,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calamus moti,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calamus muelleri,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Calamus radicalis,NA,NA,NA,NA,0--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calandrinia,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calandrinia balonensis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Calandrinia brevipedata,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Calandrinia calyptrata,FALSE,TRUE,NA,0.5,0--1,NA,NA,1,0.2,NA,0.2,0.2,NA,NA,0.2990697562
Calandrinia corrigioloides,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Calandrinia disperma,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Calandrinia eremaea,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Calandrinia granulifera,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Calandrinia pickeringii,TRUE,TRUE,1,NA,1--5,NA,0.3,0.2,0.2,0.2,NA,0.2,NA,0.2,0.2
Calandrinia ptychosperma,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calandrinia pumila,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Calandrinia sp. [Calandrinia calyptrata/eremaea; White_2020],NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calandrinia uniflora,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Calandrinia volubilis,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caleana,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Caleana disjuncta,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caleana major,TRUE,NA,1,NA,1--5,0.7170542636,1,0.2,NA,0.2,NA,0.2,0.2,0.2,0.2
Caleana minor,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Caleana nigrita,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calectasia,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Calectasia browneana,FALSE,NA,3,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Calectasia cyanea,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calectasia elegans,TRUE,NA,3,NA,NA,NA,NA,0.2,NA,0.2,NA,NA,NA,NA,0.2
Calectasia gracilis,FALSE,TRUE,3,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.3419951893
Calectasia hispida,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calectasia intermedia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Calectasia keigheryi,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calectasia narragara,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calectasia palustris,FALSE,NA,3,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,0.4472135955
Calectasia pignattiana,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Calectasia valida,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Callicarpa brevistyla,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callicarpa candicans,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callicarpa longifolia,TRUE,NA,NA,NA,0--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Callicarpa pedunculata,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Callicoma serratifolia,TRUE,TRUE,3,NA,5--20,1.763565891,2,0.2,0.2,0.2,NA,1,0.2,0.2,0.2615320972
Callistachys,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callistachys lanceolata,FALSE,NA,NA,2,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Callistemon,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callistemon acuminatus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Callistemon brachyandrus,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callistemon citrinus,TRUE,TRUE,2,NA,1--5,1.879844961,NA,0.2,0.2,0.2,NA,0.2,0.2,NA,0.2
Callistemon comboynensis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callistemon flavovirens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callistemon forresterae,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Callistemon genofluvialis,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Callistemon kenmorrisonii,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Callistemon linearis,TRUE,TRUE,3,NA,5--20,1.782945736,3,0.2,0.2,0.2,NA,1,0.2,0.2,0.2615320972
Callistemon montanus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Callistemon nyallingensis,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callistemon pachyphyllus,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.4472135955
Callistemon pallidus,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Callistemon pauciflorus,TRUE,NA,NA,NA,4--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Callistemon pinifolius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Callistemon pityoides,TRUE,TRUE,5,NA,1--5,NA,NA,0.2,0.2,0.2,NA,0.2,NA,NA,0.2
Callistemon pungens,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callistemon rugulosus,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.3419951893
Callistemon salignus,TRUE,TRUE,1,NA,NA,NA,1,0.2,0.2,0.2,NA,NA,NA,0.2,0.2
Callistemon shiressii,TRUE,NA,4,NA,NA,NA,NA,0.2,NA,0.2,NA,NA,NA,NA,0.2
Callistemon sieberi,TRUE,TRUE,4,NA,1--5,4,4,0.2,0.2,0.2,NA,0.2,1,1,0.3419951893
Callistemon sp. [Callistemon sp. aff. flavovirens; NSWFRD_2014],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NUM!
Callistemon subulatus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Callistemon teretifolius,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Callistemon viminalis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callistemon viridiflorus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Callistemon wimmerensis,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callitriche brachycarpa,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callitriche capricorni,NA,NA,NA,NA,0--1,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Callitriche muelleri,FALSE,TRUE,NA,NA,0--1,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Callitriche palustris var. palustris,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callitriche sonderi,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callitriche umbonata,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Callitris acuminata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callitris baileyi,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Callitris canescens,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Callitris columellaris,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Callitris endlicheri,FALSE,TRUE,7,NA,5--20,NA,NA,1,0.2,1,NA,1,NA,NA,0.668740305
Callitris glaucophylla,FALSE,TRUE,NA,NA,10--,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Callitris glaucophylla x Callitris verrucosa,NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callitris gracilis,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Callitris intratropica,FALSE,FALSE,NA,NA,10--,NA,NA,1,1,NA,NA,1,NA,NA,1
Callitris macleayana,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Callitris monticola,FALSE,TRUE,7,NA,NA,NA,NA,1,0.2,1,NA,NA,NA,NA,0.5848035476
Callitris muelleri,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Callitris oblonga,FALSE,FALSE,3,NA,NA,NA,NA,1,1,0.2,NA,NA,NA,NA,0.5848035476
Callitris oblonga subsp. oblonga,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Callitris oblonga subsp. parva,FALSE,NA,8,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1
Callitris preissii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Callitris pyramidalis,FALSE,NA,NA,4,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Callitris rhomboidea,FALSE,TRUE,5,NA,5--20,NA,NA,1,0.2,0.2,NA,1,NA,NA,0.4472135955
Callitris roei,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.4472135955
Callitris sp. [Callitris glaucophylla - Callitris verrucosa; White_2020],NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callitris sp. [White_2020],NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Callitris verrucosa,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.5848035476
Callitris x [Callitris glaucophylla x verrucosa; White_2020],NA,NA,NA,NA,5--20,NA,NA,NA,NA,NA,NA,1,NA,NA,1
Calocephalus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calocephalus citreus,TRUE,FALSE,1,NA,1--5,NA,NA,0.2,1,0.2,NA,0.2,NA,NA,0.2990697562
Calocephalus knappii,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Calocephalus lacteus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calocephalus platycephalus,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calocephalus sonderi,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.4472135955
Calochilus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calochilus campestris,TRUE,NA,NA,NA,1--5,0.7170542636,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Calochilus gracillimus,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Calochilus herbaceus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calochilus imberbis,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calochilus paludosus,TRUE,NA,NA,NA,1--5,0.7170542636,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Calochilus richiae,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calochilus robertsonii,TRUE,NA,NA,NA,1--5,0.7558139535,NA,0.2,NA,NA,NA,0.2,0.2,NA,0.2
Calochilus sp. [Calochilus sp. aff. campestris (Moondarra); White_2020],NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calochilus stramenicola,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calochilus therophilus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calochlaena,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calochlaena dubia,TRUE,NA,NA,NA,1--5,0.9689922481,1,0.2,NA,NA,NA,0.2,0.2,0.2,0.2
Calomeria,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calomeria amaranthoides,FALSE,TRUE,NA,NA,1--5,NA,NA,1,0.2,NA,NA,0.2,NA,NA,0.3419951893
Calophyllum australianum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calophyllum inophyllum,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Calophyllum sil,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Calophyllum soulattri,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.4472135955
Calorophus,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calorophus elongatus,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calorophus erostris,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calostemma,NA,NA,NA,NA,1--5,NA,NA,NA,NA,NA,NA,0.2,NA,NA,0.2
Calostemma luteum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Calostemma purpureum,TRUE,FALSE,NA,NA,1--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.3419951893
Calothamnus affinis,FALSE,NA,NA,4,NA,NA,NA,1,NA,NA,0.2,NA,NA,NA,0.4472135955
Calothamnus blepharospermus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calothamnus gracilis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Calothamnus graniticus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
