updated_name,resprouting_binomial,seeding_binomial,avg_maturity_primary,avg_maturity_secondary,bin_maturity_primary,min_maturity_primary,min_maturity_secondary,resprouting_binomial_score,seeding_binomial_score,avg_maturity_primary_score,avg_maturity_secondary_score,bin_maturity_primary_score,min_maturity_primary_score,min_maturity_secondary_score,score_GM
Bossiaea eriocarpa,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Bossiaea foliosa,TRUE,TRUE,NA,NA,5--20,10,NA,0.2,0.2,NA,NA,1,1,NA,0.447213595
Bossiaea rhombifolia,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Bossiaea walkeri,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Brachychiton populneus,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Brachychiton acerifolius,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Brachyscome decipiens,TRUE,NA,NA,1,0--1,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
Brachyscome nivalis,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Brachyscome rigidula,TRUE,FALSE,NA,NA,1--5,1,NA,0.2,1,NA,NA,0.2,0.2,NA,0.299069756
Brachyscome spathulata,TRUE,TRUE,NA,1,1--5,1,NA,0.2,0.2,NA,0.2,0.2,0.2,NA,0.2
Brachyscome scapigera,TRUE,NA,NA,1,1--5,1,NA,0.2,NA,NA,0.2,0.2,0.2,NA,0.2
Brachyscome barkerae,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Brachyscome stolonifera,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Buchanania obovata,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Bursaria,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Bursaria spinosa,TRUE,FALSE,NA,2,5--20,2,0.988372093,0.2,1,NA,0.2,1,0.2,0.2,0.341995189
Caladenia carnea,TRUE,FALSE,NA,1,1--5,1,0.697674419,0.2,1,NA,0.2,0.2,0.2,0.2,0.261532097
Calandrinia balonensis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Callistemon pallidus,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Callistemon salignus,TRUE,TRUE,NA,1,NA,1,NA,0.2,0.2,NA,0.2,NA,0.2,NA,0.2
Callistemon sieberi,TRUE,TRUE,NA,4,1--5,4,4,0.2,0.2,NA,1,0.2,0.2,1,0.341995189
Callistemon viminalis,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Callitris columellaris,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Callitris endlicheri,FALSE,TRUE,NA,NA,5--20,7,NA,1,0.2,NA,NA,1,1,NA,0.668740305
Callitris preissii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Callitris rhomboidea,FALSE,TRUE,NA,NA,5--20,5,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
Callitris verrucosa,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Calophyllum inophyllum,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Calophyllum soulattri,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Calothamnus blepharospermus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calothamnus quadrifidus,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Calothamnus villosus,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Calotis multicaulis,FALSE,NA,NA,NA,0--1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Calytrix brownii,TRUE,TRUE,NA,NA,4--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Calytrix tetragona,TRUE,TRUE,NA,NA,1--5,2.693798,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Canavalia rosea,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Cajanus reticulatus,FALSE,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Psydrax odorata,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Capparis mitchellii,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Cardwellia sublimis,TRUE,NA,NA,NA,10--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Senna circinnata,FALSE,NA,NA,NA,1--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Senna artemisioides subsp. x coriacea,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Cassinia aculeata,FALSE,TRUE,NA,NA,1--5,2.635659,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Cassinia aureonitens,FALSE,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Cassinia compacta,FALSE,FALSE,NA,NA,NA,5,NA,1,1,NA,NA,NA,0.2,NA,0.584803548
Cassinia trinerva,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Cassinia uncata,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Casuarina cristata,FALSE,FALSE,NA,NA,5--20,NA,NA,1,1,NA,NA,1,NA,NA,1
Casuarina cunninghamiana,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Casuarina cunninghamiana subsp. cunninghamiana,TRUE,FALSE,NA,NA,5--20,3,NA,0.2,1,NA,NA,1,0.2,NA,0.447213595
Casuarina equisetifolia,FALSE,NA,NA,NA,6--10,NA,NA,1,NA,NA,NA,1,NA,NA,1
Casuarina glauca,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Casuarina obesa,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Casuarina pauper,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Celmisia costiniana,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Celmisia longifolia,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Ceratopetalum apetalum,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Ceratopetalum gummiferum,TRUE,FALSE,NA,NA,5--20,1,0.968992248,0.2,1,NA,NA,1,0.2,0.2,0.380730788
Chamaecytisus palmensis,FALSE,TRUE,NA,NA,NA,NA,NA,1,0.2,NA,NA,NA,NA,NA,0.447213595
Chamelaucium uncinatum,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Choretrum glomeratum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Choretrum spicatum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Chrysopogon fallax,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Claoxylon australe,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Clerodendrum floribundum,TRUE,TRUE,NA,NA,2--3,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Conospermum taxifolium,TRUE,TRUE,NA,NA,5--20,4,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Correa alba,FALSE,TRUE,NA,NA,5--20,NA,NA,1,0.2,NA,NA,1,NA,NA,0.584803548
Corymbia gummifera,TRUE,TRUE,NA,3,5--20,3,3.023255814,0.2,0.2,NA,0.2,1,0.2,1,0.341995189
Corymbia intermedia,TRUE,TRUE,NA,NA,NA,5,NA,0.2,0.2,NA,NA,NA,0.2,NA,0.2
Corymbia polycarpa,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Corymbia terminalis,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Corymbia tessellaris,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Corymbia torelliana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Craspedia alba,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Craspedia costiniana,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Craspedia aurantia var. jamesii,TRUE,TRUE,NA,NA,1--5,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Craspedia lamicola,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Craspedia maxgrayi,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Crataegus monogyna,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Arctotheca calendula,FALSE,TRUE,1,NA,NA,NA,NA,1,0.2,0.2,NA,NA,NA,NA,0.341995189
Cyclophyllum multiflorum,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Cymbidium canaliculatum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Cymbidium suave,TRUE,NA,NA,NA,5--20,NA,1.782945736,0.2,NA,NA,NA,1,NA,0.2,0.341995189
Darlingia darlingiana,TRUE,NA,NA,NA,5--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Davidsonia pruriens,TRUE,NA,NA,NA,5--10,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Daviesia corymbosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Daviesia leptophylla,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Daviesia divaricata,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Daviesia latifolia,TRUE,TRUE,NA,NA,5--20,4,2,0.2,0.2,NA,NA,1,0.2,0.2,0.275945932
Daviesia mimosoides,TRUE,TRUE,NA,2,5--20,2,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Daviesia polyphylla,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Daviesia squarrosa,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Daviesia umbellulata,TRUE,TRUE,NA,NA,NA,4,NA,0.2,0.2,NA,NA,NA,0.2,NA,0.2
Dendrobium speciosum,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Dendrobium speciosum subsp. grandiflorum,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Dendrobium speciosum subsp. hillii,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Dillwynia brunioides,FALSE,TRUE,NA,NA,NA,7,NA,1,0.2,NA,NA,NA,1,NA,0.584803548
Dillwynia floribunda,FALSE,TRUE,NA,NA,NA,1.744186,NA,1,0.2,NA,NA,NA,0.2,NA,0.341995189
Dillwynia glaberrima,TRUE,TRUE,NA,2,5--20,5,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Dillwynia retorta,FALSE,TRUE,NA,NA,5--20,1.647287,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
Dillwynia sericea,TRUE,TRUE,NA,2,5--20,NA,NA,0.2,0.2,NA,0.2,1,NA,NA,0.299069756
Dodonaea triquetra,TRUE,TRUE,3,NA,5--20,1.22093,NA,0.2,0.2,0.2,NA,1,0.2,NA,0.275945932
Dodonaea viscosa,TRUE,TRUE,4,NA,4--5,3,NA,0.2,0.2,0.2,NA,0.2,0.2,NA,0.2
Doryphora sassafras,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Drosera auriculata,TRUE,TRUE,NA,NA,1--5,1,0.2,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Drosera binata,TRUE,NA,NA,0.1,1--5,1,0.329457364,0.2,NA,NA,0.2,0.2,0.2,0.2,0.2
Drosera peltata,TRUE,TRUE,NA,NA,1--5,1,0.3,0.2,0.2,NA,NA,0.2,0.2,0.2,0.2
Drosera whittakeri,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Banksia cirsioides,FALSE,NA,6,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1
Drypetes deplanchei,TRUE,TRUE,NA,NA,6--10,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Ecdeiocolea monostachya,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Elaeocarpus angustifolius,TRUE,NA,NA,NA,10--,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Elaeodendron australe,TRUE,FALSE,NA,NA,5--20,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Epacris gunnii,TRUE,TRUE,NA,2,1--5,2,2,0.2,0.2,NA,0.2,0.2,0.2,0.2,0.2
Epacris microphylla,TRUE,TRUE,NA,NA,1--5,1.666667,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Epacris obtusifolia,FALSE,TRUE,NA,NA,1--5,3,NA,1,0.2,NA,NA,0.2,0.2,NA,0.299069756
Epacris paludosa,TRUE,FALSE,5,1,1--5,1,NA,0.2,1,0.2,0.2,0.2,0.2,NA,0.261532097
Epacris petrophila,FALSE,FALSE,NA,NA,1--5,NA,NA,1,1,NA,NA,0.2,NA,NA,0.584803548
Epilobium gunnianum,TRUE,TRUE,NA,NA,0--1,1,NA,0.2,0.2,NA,NA,0.2,0.2,NA,0.2
Eremaea pauciflora var. pauciflora,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eremophila alternifolia,FALSE,NA,NA,NA,4--5,NA,NA,1,NA,NA,NA,0.2,NA,NA,0.447213595
Eremophila bignoniiflora,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Eremophila drummondii,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Eremophila freelingii,TRUE,FALSE,NA,NA,4--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Eremophila gilesii,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Eremophila glabra,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Eremophila ionantha,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Eremophila latrobei,TRUE,FALSE,NA,NA,4--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Eremophila longifolia,TRUE,FALSE,NA,NA,4--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Eremophila maculata,FALSE,FALSE,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Eremophila oppositifolia subsp. angustifolia,NA,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.2
Eremophila polyclada,FALSE,FALSE,NA,NA,6--10,NA,NA,1,1,NA,NA,1,NA,NA,1
Eremophila scoparia,TRUE,TRUE,NA,NA,1--5,NA,NA,0.2,0.2,NA,NA,0.2,NA,NA,0.2
Eremophila serrulata,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Eremophila sturtii,TRUE,FALSE,NA,NA,4--5,NA,NA,0.2,1,NA,NA,0.2,NA,NA,0.341995189
Pappochroma paludicola,TRUE,NA,NA,NA,0--1,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Pappochroma setosum,TRUE,NA,NA,NA,1--5,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.2
Eriostemon australasius,FALSE,TRUE,NA,NA,5--20,4,NA,1,0.2,NA,NA,1,0.2,NA,0.447213595
Philotheca linearis,FALSE,NA,NA,NA,5--20,NA,NA,1,NA,NA,NA,1,NA,NA,1
Erythrophleum chlorostachys,TRUE,TRUE,NA,NA,10--,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus calycogona,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus acmenoides,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus agglomerata,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus alba,TRUE,FALSE,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,0.447213595
Eucalyptus albens,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus amplifolia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus amygdalina,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus andrewsii,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus angulosa,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus annulata,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus argillacea,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus argophloia,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus aromaphloia,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus baileyana,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Eucalyptus bakeri,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus baxteri,TRUE,TRUE,NA,2,5--20,2,NA,0.2,0.2,NA,0.2,1,0.2,NA,0.275945932
Eucalyptus bigalerita,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus blakelyi,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus botryoides,TRUE,TRUE,NA,NA,5--20,5,NA,0.2,0.2,NA,NA,1,0.2,NA,0.299069756
Eucalyptus bosistoana,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus brachyandra,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus brachycalyx,TRUE,NA,NA,NA,5--20,NA,NA,0.2,NA,NA,NA,1,NA,NA,0.447213595
Eucalyptus brassiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus brevifolia,TRUE,FALSE,NA,NA,10--,NA,NA,0.2,1,NA,NA,1,NA,NA,0.584803548
Eucalyptus bridgesiana,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus burgessiana,TRUE,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,0.2
Eucalyptus porosa,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus caleyi,TRUE,TRUE,NA,NA,5--20,NA,NA,0.2,0.2,NA,NA,1,NA,NA,0.341995189
Eucalyptus caliginosa,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
Corymbia calophylla,TRUE,TRUE,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,0.2
